ID, time, latitude, longitude, altitude, ang_pos, speed, friction
367, 0.17000, 40.86200452, -77.83599838, 330.00878095, 0.53046325, 1.50723, 1.98334
41, 0.18000, 40.86200331, -77.83623982, 330.00873251, 5.81100448, 7.00825, 1.44743
94, 0.18000, 40.86182128, -77.83636535, 330.00145101, 4.77273556, 3.67104, 2.41593
347, 0.19000, 40.86195808, -77.83593760, 330.00692306, 0.88237680, 6.33538, 2.26368
391, 0.19000, 40.86203111, -77.83607408, 330.00984447, 0.13591080, 4.19648, 2.52569
138, 0.20000, 40.86163580, -77.83631860, 329.99403192, 3.94703229, 6.15327, 1.83565
357, 0.20000, 40.86197023, -77.83595010, 330.00740904, 0.81052366, 5.10192, 0.51804
49, 0.21000, 40.86198261, -77.83627113, 330.00790448, 5.59602693, 3.81426, 2.86067
130, 0.21000, 40.86167465, -77.83634233, 329.99558584, 4.11765090, 2.36668, 2.83223
158, 0.21000, 40.86157892, -77.83625953, 329.99175687, 3.77083346, 7.21283, 2.46007
42, 0.22000, 40.86200296, -77.83624045, 330.00871831, 5.69657150, 6.31231, 1.84429
114, 0.22000, 40.86173066, -77.83636202, 329.99782655, 4.41577457, 2.95660, 2.34814
386, 0.22000, 40.86202537, -77.83604927, 330.00961464, 0.16742944, 1.33253, 2.53760
150, 0.23000, 40.86160298, -77.83628937, 329.99271901, 3.95903345, 1.86191, 2.61382
254, 0.23000, 40.86162874, -77.83592285, 329.99374954, 1.94334302, 7.97028, 2.63935
391, 0.23000, 40.86203107, -77.83607387, 330.00984300, 0.01678238, 4.19103, 2.15095
27, 0.24000, 40.86202224, -77.83619684, 330.00948967, 5.86255654, 2.72900, 3.12724
237, 0.25000, 40.86158354, -77.83596996, 329.99194177, 2.29882601, 1.97440, 2.93254
391, 0.26000, 40.86203105, -77.83607372, 330.00984188, -0.01537113, 4.18664, 2.47622
198, 0.27000, 40.86153608, -77.83614122, 329.99004324, 3.15069438, 3.00061, 4.30929
223, 0.27000, 40.86155336, -77.83602397, 329.99073437, 2.62496037, 4.27072, 0.44943
344, 0.27000, 40.86194885, -77.83592918, 330.00655385, 0.89824058, 5.74842, 3.67926
357, 0.27000, 40.86196995, -77.83594979, 330.00739782, 0.74597180, 4.46545, 1.56851
178, 0.29000, 40.86154697, -77.83619443, 329.99047883, 3.67030267, 2.72575, 2.04067
136, 0.30000, 40.86164813, -77.83632720, 329.99452516, 4.13057448, 5.85023, 2.47036
261, 0.30000, 40.86165982, -77.83590159, 329.99499300, 2.13091105, 6.60361, 1.46305
298, 0.30000, 40.86178045, -77.83586804, 329.99981797, 1.68389652, 0.42444, 1.71670
93, 0.31000, 40.86182448, -77.83636486, 330.00157927, 4.95223231, 5.59196, 2.75655
394, 0.32000, 40.86203292, -77.83608582, 330.00991682, 0.03798954, 5.16807, 4.07867
43, 0.33000, 40.86199973, -77.83624603, 330.00858925, 5.57384448, 5.78581, 3.38580
90, 0.33000, 40.86184013, -77.83636184, 330.00220534, 4.92399465, 0.70446, 1.15597
393, 0.33000, 40.86203279, -77.83608480, 330.00991144, 0.10875631, 5.45670, 2.74680
6, 0.34000, 40.86203391, -77.83614128, 330.00995656, 6.16353464, 3.70875, 2.40185
127, 0.34000, 40.86168667, -77.83634785, 329.99606689, 4.34898104, 2.35386, 1.86435
190, 0.34000, 40.86153920, -77.83616365, 329.99016810, 3.38085345, 4.80786, 2.34519
305, 0.34000, 40.86180544, -77.83586884, 330.00081778, 1.47105482, 3.25764, 2.32349
20, 0.35000, 40.86202680, -77.83618152, 330.00967183, 5.99240898, 2.99048, 2.84797
122, 0.35000, 40.86170174, -77.83635373, 329.99666948, 4.07597428, 4.19473, 1.96757
